No;Process;Project;Unit;Total;Activity 1;Activity 2;Activity 3;Activity 4;Activity 5
1;Total;Random;mol H+ eq;4199;1001;560;996;898;744
2;Acidification 1;Random;mol H+ eq;232;6;32;80;74;40
3;Acidification 2 ;Random;mol H+ eq;196;26;0;62;60;48
4;Acidification 3;Random;mol H+ eq;202;29;66;54;21;32
5;Acidification 4;Random;mol H+ eq;238;80;14;74;54;16
6;Acidification 5;Random;mol H+ eq;216;93;61;5;37;20
7;Acidification 6;Random;mol H+ eq;163;61;29;12;25;36
8;Acidification 7;Random;mol H+ eq;218;31;17;88;14;68
9;Acidification 8;Random;mol H+ eq;178;29;36;33;74;6
10;Acidification 9;Random;mol H+ eq;172;8;33;96;0;35
11;Acidification 10;Random;mol H+ eq;273;85;50;34;98;6
12;Acidification 11;Random;mol H+ eq;214;34;23;73;71;13
13;Acidification 12;Random;mol H+ eq;164;14;10;62;54;24
14;Acidification 13;Random;mol H+ eq;305;88;54;22;76;65
15;Acidification 14;Random;mol H+ eq;278;100;11;53;23;91
16;Acidification 15;Random;mol H+ eq;292;54;30;97;54;57
17;Acidification 16;Random;mol H+ eq;214;27;24;48;21;94
18;Acidification 17;Random;mol H+ eq;214;83;55;28;4;44
19;Acidification 18;Random;mol H+ eq;161;64;3;2;91;1
20;Acidification 19;Random;mol H+ eq;269;89;12;73;47;48
