No;Process;Project;Unit;Total;Activity 1;Activity 2;Activity 3;Activity 4;Activity 5
1;Total;Random;kg CO2 eq;5403;1141;973;994;962;1333
2;Climate Change 2;Random;kg CO2 eq;389;80;32;92;93;92
3;Climate Change 3;Random;kg CO2 eq;235;68;96;18;30;23
4;Climate Change 4;Random;kg CO2 eq;256;64;32;36;65;59
5;Climate Change 5;Random;kg CO2 eq;303;84;58;46;78;37
6;Climate Change 6;Random;kg CO2 eq;281;67;68;17;39;90
7;Climate Change 7;Random;kg CO2 eq;268;25;98;58;25;62
8;Climate Change 8;Random;kg CO2 eq;362;71;84;61;66;80
9;Climate Change 9;Random;kg CO2 eq;195;30;51;60;13;41
10;Climate Change 10;Random;kg CO2 eq;337;62;22;77;84;92
11;Climate Change 11;Random;kg CO2 eq;255;96;16;66;4;73
12;Climate Change 12;Random;kg CO2 eq;260;24;85;39;34;78
13;Climate Change 13;Random;kg CO2 eq;244;17;83;38;31;75
14;Climate Change 14;Random;kg CO2 eq;294;26;69;84;16;99
15;Climate Change 15;Random;kg CO2 eq;197;90;13;0;14;80
16;Climate Change 16;Random;kg CO2 eq;361;91;19;99;63;89
17;Climate Change 17;Random;kg CO2 eq;199;48;19;0;61;71
18;Climate Change 18;Random;kg CO2 eq;226;35;40;27;66;58
19;Climate Change 19;Random;kg CO2 eq;342;83;39;87;98;35
20;Climate Change 20;Random;kg CO2 eq;399;80;49;89;82;99
