No;Process;Project;Unit;Total;Activity 1;Activity 2;Activity 3;Activity 4;Activity 5
1;Total;Random;CTUe;4447;837;757;997;806;1050
2;Ecotoxicity_part 1_2;Random;CTUe;213;70;14;6;95;28
3;Ecotoxicity_part 1_3;Random;CTUe;308;48;2;94;94;70
4;Ecotoxicity_part 1_4;Random;CTUe;255;59;74;89;12;21
5;Ecotoxicity_part 1_5;Random;CTUe;80;40;6;5;14;15
6;Ecotoxicity_part 1_6;Random;CTUe;220;78;15;0;28;99
7;Ecotoxicity_part 1_7;Random;CTUe;171;8;50;58;45;10
8;Ecotoxicity_part 1_8;Random;CTUe;249;35;32;80;36;66
9;Ecotoxicity_part 1_9;Random;CTUe;348;54;21;81;98;94
10;Ecotoxicity_part 1_10;Random;CTUe;265;51;0;97;49;68
11;Ecotoxicity_part 1_11;Random;CTUe;161;4;28;5;53;71
12;Ecotoxicity_part 1_12;Random;CTUe;203;42;42;31;20;68
13;Ecotoxicity_part 1_13;Random;CTUe;381;43;80;89;86;83
14;Ecotoxicity_part 1_14;Random;CTUe;176;11;17;70;62;16
15;Ecotoxicity_part 1_15;Random;CTUe;281;72;94;65;0;50
16;Ecotoxicity_part 1_16;Random;CTUe;171;25;86;13;5;42
17;Ecotoxicity_part 1_17;Random;CTUe;301;97;48;73;11;72
18;Ecotoxicity_part 1_18;Random;CTUe;310;82;53;97;52;26
19;Ecotoxicity_part 1_19;Random;CTUe;153;14;10;28;27;74
20;Ecotoxicity_part 1_20;Random;CTUe;201;4;85;16;19;77
21;Ecotoxicity_part 2_2;Random;CTUe;252;31;54;69;74;24
22;Ecotoxicity_part 2_3;Random;CTUe;306;85;64;14;72;71
23;Ecotoxicity_part 2_4;Random;CTUe;291;99;9;85;67;31
24;Ecotoxicity_part 2_5;Random;CTUe;294;74;76;48;38;58
25;Ecotoxicity_part 2_6;Random;CTUe;221;59;52;58;19;33
26;Ecotoxicity_part 2_7;Random;CTUe;282;23;77;45;92;45
27;Ecotoxicity_part 2_8;Random;CTUe;246;18;68;49;67;44
28;Ecotoxicity_part 2_9;Random;CTUe;228;4;31;6;92;95
29;Ecotoxicity_part 2_10;Random;CTUe;255;95;0;63;59;38
30;Ecotoxicity_part 2_11;Random;CTUe;301;67;70;69;58;37
31;Ecotoxicity_part 2_12;Random;CTUe;405;91;99;93;44;78
32;Ecotoxicity_part 2_13;Random;CTUe;199;34;80;41;38;6
33;Ecotoxicity_part 2_14;Random;CTUe;251;73;26;29;86;37
34;Ecotoxicity_part 2_15;Random;CTUe;292;89;69;74;5;55
35;Ecotoxicity_part 2_16;Random;CTUe;187;7;72;92;0;16
36;Ecotoxicity_part 2_17;Random;CTUe;224;3;22;32;88;79
37;Ecotoxicity_part 2_18;Random;CTUe;165;34;49;9;4;69
38;Ecotoxicity_part 2_19;Random;CTUe;364;48;69;81;92;74
39;Ecotoxicity_part 2_20;Random;CTUe;176;85;4;23;24;40
