No;Process;Project;Unit;Total;Activity 1;Activity 2;Activity 3;Activity 4;Activity 5
1;Total;Random;kg P eq;4728;1056;966;852;793;1061
2;Eutrophication_freshwater_2;Random;kg P eq;298;66;93;74;22;43
3;Eutrophication_freshwater_3;Random;kg P eq;274;31;85;84;33;41
4;Eutrophication_freshwater_4;Random;kg P eq;243;67;61;1;17;97
5;Eutrophication_freshwater_5;Random;kg P eq;207;77;5;4;91;30
6;Eutrophication_freshwater_6;Random;kg P eq;295;76;66;51;12;90
7;Eutrophication_freshwater_7;Random;kg P eq;259;6;43;60;94;56
8;Eutrophication_freshwater_8;Random;kg P eq;209;48;90;17;12;42
9;Eutrophication_freshwater_9;Random;kg P eq;150;81;4;24;32;9
10;Eutrophication_freshwater_10;Random;kg P eq;175;7;44;46;52;26
11;Eutrophication_freshwater_11;Random;kg P eq;294;73;96;11;31;83
12;Eutrophication_freshwater_12;Random;kg P eq;195;26;25;94;5;45
13;Eutrophication_freshwater_13;Random;kg P eq;169;98;52;2;1;16
14;Eutrophication_freshwater_14;Random;kg P eq;395;99;32;99;98;67
15;Eutrophication_freshwater_15;Random;kg P eq;337;88;12;66;80;91
16;Eutrophication_freshwater_16;Random;kg P eq;316;96;84;33;91;12
17;Eutrophication_freshwater_17;Random;kg P eq;219;26;8;78;7;100
18;Eutrophication_freshwater_18;Random;kg P eq;194;5;6;44;64;75
19;Eutrophication_freshwater_19;Random;kg P eq;258;72;91;11;12;72
20;Eutrophication_freshwater_20;Random;kg P eq;241;14;69;53;39;66
