No;Process;Project;Unit;Total;Activity 1;Activity 2;Activity 3;Activity 4;Activity 5
1;Total;Random;kg N eq;4937;1029;924;1159;1042;783
2;Eutrophication_Marine_2;Random;kg N eq;259;27;82;34;78;38
3;Eutrophication_Marine_3;Random;kg N eq;225;25;9;75;98;18
4;Eutrophication_Marine_4;Random;kg N eq;145;4;49;62;21;9
5;Eutrophication_Marine_5;Random;kg N eq;280;39;17;99;94;31
6;Eutrophication_Marine_6;Random;kg N eq;353;92;90;89;23;59
7;Eutrophication_Marine_7;Random;kg N eq;290;99;3;90;26;72
8;Eutrophication_Marine_8;Random;kg N eq;265;78;52;96;8;31
9;Eutrophication_Marine_9;Random;kg N eq;350;95;92;58;62;43
10;Eutrophication_Marine_10;Random;kg N eq;161;21;30;66;22;22
11;Eutrophication_Marine_11;Random;kg N eq;156;68;14;20;8;46
12;Eutrophication_Marine_12;Random;kg N eq;388;57;79;56;97;99
13;Eutrophication_Marine_13;Random;kg N eq;226;77;28;24;62;35
14;Eutrophication_Marine_14;Random;kg N eq;234;68;78;17;50;21
15;Eutrophication_Marine_15;Random;kg N eq;259;60;27;35;89;48
16;Eutrophication_Marine_16;Random;kg N eq;161;12;56;68;12;13
17;Eutrophication_Marine_17;Random;kg N eq;349;76;42;79;73;79
18;Eutrophication_Marine_18;Random;kg N eq;219;3;67;67;65;17
19;Eutrophication_Marine_19;Random;kg N eq;221;29;48;28;57;59
20;Eutrophication_Marine_20;Random;kg N eq;396;99;61;96;97;43
