No;Process;Project;Unit;Total;Activity 1;Activity 2;Activity 3;Activity 4;Activity 5
1;Total;Random;mol N eq;4124;781;868;728;937;810
2;Eutrophication_terrestrial_2;Random;mol N eq;195;11;3;27;64;90
3;Eutrophication_terrestrial_3;Random;mol N eq;204;36;12;32;94;30
4;Eutrophication_terrestrial_4;Random;mol N eq;296;76;23;88;70;39
5;Eutrophication_terrestrial_5;Random;mol N eq;111;22;24;24;39;2
6;Eutrophication_terrestrial_6;Random;mol N eq;163;29;28;33;55;18
7;Eutrophication_terrestrial_7;Random;mol N eq;213;13;74;59;57;10
8;Eutrophication_terrestrial_8;Random;mol N eq;232;59;58;19;25;71
9;Eutrophication_terrestrial_9;Random;mol N eq;230;4;31;54;98;43
10;Eutrophication_terrestrial_10;Random;mol N eq;256;59;50;44;22;81
11;Eutrophication_terrestrial_11;Random;mol N eq;164;24;24;9;72;35
12;Eutrophication_terrestrial_12;Random;mol N eq;175;13;78;10;1;73
13;Eutrophication_terrestrial_13;Random;mol N eq;209;6;46;80;60;17
14;Eutrophication_terrestrial_14;Random;mol N eq;284;74;81;15;87;27
15;Eutrophication_terrestrial_15;Random;mol N eq;343;86;88;96;43;30
16;Eutrophication_terrestrial_16;Random;mol N eq;148;57;15;27;18;31
17;Eutrophication_terrestrial_17;Random;mol N eq;358;98;99;34;84;43
18;Eutrophication_terrestrial_18;Random;mol N eq;166;16;84;7;13;46
19;Eutrophication_terrestrial_19;Random;mol N eq;241;83;5;70;3;80
20;Eutrophication_terrestrial_20;Random;mol N eq;136;15;45;0;32;44
