No;Process;Project;Unit;Total;Activity 1;Activity 2;Activity 3;Activity 4;Activity 5
1;Total;Random;CTUh;5229;995;1034;1129;1023;1048
2;Human_non_toxicity_cancer_2;Random;CTUh;312;38;67;40;95;72
3;Human_non_toxicity_cancer_3;Random;CTUh;255;31;55;94;26;49
4;Human_non_toxicity_cancer_4;Random;CTUh;271;80;3;92;38;58
5;Human_non_toxicity_cancer_5;Random;CTUh;302;61;31;44;99;67
6;Human_non_toxicity_cancer_6;Random;CTUh;191;59;21;96;14;1
7;Human_non_toxicity_cancer_7;Random;CTUh;252;55;99;3;68;27
8;Human_non_toxicity_cancer_8;Random;CTUh;284;35;76;87;62;24
9;Human_non_toxicity_cancer_9;Random;CTUh;366;50;93;75;48;100
10;Human_non_toxicity_cancer_10;Random;CTUh;198;34;52;18;49;45
11;Human_non_toxicity_cancer_11;Random;CTUh;193;22;13;56;22;80
12;Human_non_toxicity_cancer_12;Random;CTUh;271;38;79;23;42;89
13;Human_non_toxicity_cancer_13;Random;CTUh;297;31;69;98;71;28
14;Human_non_toxicity_cancer_14;Random;CTUh;283;55;31;99;58;40
15;Human_non_toxicity_cancer_15;Random;CTUh;394;98;97;43;96;60
16;Human_non_toxicity_cancer_16;Random;CTUh;267;79;11;18;82;77
17;Human_non_toxicity_cancer_17;Random;CTUh;323;79;86;54;4;100
18;Human_non_toxicity_cancer_18;Random;CTUh;168;26;42;55;45;0
19;Human_non_toxicity_cancer_19;Random;CTUh;439;90;97;96;60;96
20;Human_non_toxicity_cancer_20;Random;CTUh;163;34;12;38;44;35
