No;Process;Project;Unit;Total;Activity 1;Activity 2;Activity 3;Activity 4;Activity 5
1;Total;Random;kBq U-235 eq;5016;764;969;988;1024;1271
2;Ionising_radiation_2;Random;kBq U-235 eq;202;19;63;15;25;80
3;Ionising_radiation_3;Random;kBq U-235 eq;358;73;58;46;83;98
4;Ionising_radiation_4;Random;kBq U-235 eq;138;59;35;0;41;3
5;Ionising_radiation_5;Random;kBq U-235 eq;314;21;70;75;67;81
6;Ionising_radiation_6;Random;kBq U-235 eq;263;42;70;58;48;45
7;Ionising_radiation_7;Random;kBq U-235 eq;286;31;80;90;8;77
8;Ionising_radiation_8;Random;kBq U-235 eq;186;18;68;15;51;34
9;Ionising_radiation_9;Random;kBq U-235 eq;234;5;80;61;70;18
10;Ionising_radiation_10;Random;kBq U-235 eq;351;61;36;83;93;78
11;Ionising_radiation_11;Random;kBq U-235 eq;206;7;57;17;57;68
12;Ionising_radiation_12;Random;kBq U-235 eq;250;29;61;43;33;84
13;Ionising_radiation_13;Random;kBq U-235 eq;248;48;37;77;8;78
14;Ionising_radiation_14;Random;kBq U-235 eq;231;1;62;28;58;82
15;Ionising_radiation_15;Random;kBq U-235 eq;361;91;25;84;73;88
16;Ionising_radiation_16;Random;kBq U-235 eq;288;43;49;80;46;70
17;Ionising_radiation_17;Random;kBq U-235 eq;259;46;60;14;94;45
18;Ionising_radiation_18;Random;kBq U-235 eq;253;32;37;72;49;63
19;Ionising_radiation_19;Random;kBq U-235 eq;396;96;16;88;96;100
20;Ionising_radiation_20;Random;kBq U-235 eq;192;42;5;42;24;79
