No;Process;Project;Unit;Total;Activity 1;Activity 2;Activity 3;Activity 4;Activity 5
1;Total;Random;Pt;4631;946;901;960;805;1019
2;Land_use_2;Random;Pt;235;14;34;95;27;65
3;Land_use_3;Random;Pt;275;87;40;19;68;61
4;Land_use_4;Random;Pt;256;39;84;55;38;40
5;Land_use_5;Random;Pt;437;83;89;98;79;88
6;Land_use_6;Random;Pt;210;46;34;71;41;18
7;Land_use_7;Random;Pt;314;3;56;90;84;81
8;Land_use_8;Random;Pt;211;29;66;22;5;89
9;Land_use_9;Random;Pt;252;83;15;8;89;57
10;Land_use_10;Random;Pt;192;67;35;35;1;54
11;Land_use_11;Random;Pt;203;96;34;67;0;6
12;Land_use_12;Random;Pt;159;48;19;38;4;50
13;Land_use_13;Random;Pt;301;19;53;89;78;62
14;Land_use_14;Random;Pt;286;78;60;42;80;26
15;Land_use_15;Random;Pt;282;90;42;25;32;93
16;Land_use_16;Random;Pt;165;17;59;16;41;32
17;Land_use_17;Random;Pt;241;44;47;48;4;98
18;Land_use_18;Random;Pt;198;31;53;33;35;46
19;Land_use_19;Random;Pt;175;2;32;64;24;53
20;Land_use_20;Random;Pt;239;70;49;45;75;0
