No;Process;Project;Unit;Total;Activity 1;Activity 2;Activity 3;Activity 4;Activity 5
1;Total;Random;kg CFC11 eq;4621;925;839;1006;922;929
2;Ozone_depletion_2;Random;kg CFC11 eq;230;44;62;33;27;64
3;Ozone_depletion_3;Random;kg CFC11 eq;218;48;31;46;54;39
4;Ozone_depletion_4;Random;kg CFC11 eq;312;32;92;49;61;78
5;Ozone_depletion_5;Random;kg CFC11 eq;278;33;80;77;76;12
6;Ozone_depletion_6;Random;kg CFC11 eq;267;100;16;66;11;74
7;Ozone_depletion_7;Random;kg CFC11 eq;241;55;30;19;45;92
8;Ozone_depletion_8;Random;kg CFC11 eq;166;17;13;64;53;19
9;Ozone_depletion_9;Random;kg CFC11 eq;251;93;55;2;97;4
10;Ozone_depletion_10;Random;kg CFC11 eq;328;18;84;69;80;77
11;Ozone_depletion_11;Random;kg CFC11 eq;165;25;10;41;0;89
12;Ozone_depletion_12;Random;kg CFC11 eq;232;71;10;36;99;16
13;Ozone_depletion_13;Random;kg CFC11 eq;196;96;37;40;3;20
14;Ozone_depletion_14;Random;kg CFC11 eq;330;25;99;91;75;40
15;Ozone_depletion_15;Random;kg CFC11 eq;206;70;23;18;65;30
16;Ozone_depletion_16;Random;kg CFC11 eq;295;28;72;73;44;78
17;Ozone_depletion_17;Random;kg CFC11 eq;290;28;85;75;2;100
18;Ozone_depletion_18;Random;kg CFC11 eq;264;74;31;85;57;17
19;Ozone_depletion_19;Random;kg CFC11 eq;267;63;8;99;46;51
20;Ozone_depletion_20;Random;kg CFC11 eq;85;5;1;23;27;29
