No;Process;Project;Unit;Total;Activity 1;Activity 2;Activity 3;Activity 4;Activity 5
1;Total;Random;disease inc.;4786;1090;721;1088;950;937
2;Particulate_matter_2;Random;disease inc.;295;82;9;80;28;96
3;Particulate_matter_3;Random;disease inc.;152;27;68;36;6;15
4;Particulate_matter_4;Random;disease inc.;222;55;0;22;48;97
5;Particulate_matter_5;Random;disease inc.;241;20;80;94;33;14
6;Particulate_matter_6;Random;disease inc.;246;70;18;22;52;84
7;Particulate_matter_7;Random;disease inc.;279;82;43;87;27;40
8;Particulate_matter_8;Random;disease inc.;188;0;34;40;77;37
9;Particulate_matter_9;Random;disease inc.;260;49;46;25;69;71
10;Particulate_matter_10;Random;disease inc.;419;97;62;92;85;83
11;Particulate_matter_11;Random;disease inc.;186;88;18;72;0;8
12;Particulate_matter_12;Random;disease inc.;174;79;9;29;46;11
13;Particulate_matter_13;Random;disease inc.;283;95;17;62;22;87
14;Particulate_matter_14;Random;disease inc.;238;84;32;23;8;91
15;Particulate_matter_15;Random;disease inc.;284;16;65;96;92;15
16;Particulate_matter_16;Random;disease inc.;171;5;58;53;24;31
17;Particulate_matter_17;Random;disease inc.;300;67;59;29;97;48
18;Particulate_matter_18;Random;disease inc.;216;7;31;83;92;3
19;Particulate_matter_19;Random;disease inc.;336;83;54;61;70;68
20;Particulate_matter_20;Random;disease inc.;296;84;18;82;74;38
