No;Process;Project;Unit;Total;Activity 1;Activity 2;Activity 3;Activity 4;Activity 5
1;Total;Random;kg NMVOC eq;4788;914;1032;853;1005;984
2;Photochemical_ozone_formation_2;Random;kg NMVOC eq;182;1;33;78;11;59
3;Photochemical_ozone_formation_3;Random;kg NMVOC eq;158;26;13;21;58;40
4;Photochemical_ozone_formation_4;Random;kg NMVOC eq;265;70;16;35;83;61
5;Photochemical_ozone_formation_5;Random;kg NMVOC eq;227;49;84;14;57;23
6;Photochemical_ozone_formation_6;Random;kg NMVOC eq;429;65;93;73;100;98
7;Photochemical_ozone_formation_7;Random;kg NMVOC eq;211;38;35;3;44;91
8;Photochemical_ozone_formation_8;Random;kg NMVOC eq;213;56;100;8;1;48
9;Photochemical_ozone_formation_9;Random;kg NMVOC eq;331;29;67;100;55;80
10;Photochemical_ozone_formation_10;Random;kg NMVOC eq;290;48;66;22;93;61
11;Photochemical_ozone_formation_11;Random;kg NMVOC eq;211;74;19;11;10;97
12;Photochemical_ozone_formation_12;Random;kg NMVOC eq;228;54;23;62;49;40
13;Photochemical_ozone_formation_13;Random;kg NMVOC eq;257;24;38;63;63;69
14;Photochemical_ozone_formation_14;Random;kg NMVOC eq;394;87;82;95;80;50
15;Photochemical_ozone_formation_15;Random;kg NMVOC eq;238;36;66;88;22;26
16;Photochemical_ozone_formation_16;Random;kg NMVOC eq;150;3;46;15;78;8
17;Photochemical_ozone_formation_17;Random;kg NMVOC eq;242;75;7;71;58;31
18;Photochemical_ozone_formation_18;Random;kg NMVOC eq;253;73;84;4;73;19
19;Photochemical_ozone_formation_19;Random;kg NMVOC eq;300;67;99;42;16;76
20;Photochemical_ozone_formation_20;Random;kg NMVOC eq;209;39;61;48;54;7
