No;Process;Project;Unit;Total;Activity 1;Activity 2;Activity 3;Activity 4;Activity 5
1;Total;Random;MJ;4754;961;964;837;889;1103
2;Resource_use_fossil_2;Random;MJ;247;24;64;38;23;98
3;Resource_use_fossil_3;Random;MJ;302;62;80;66;6;88
4;Resource_use_fossil_4;Random;MJ;325;69;5;99;69;83
5;Resource_use_fossil_5;Random;MJ;201;74;17;35;62;13
6;Resource_use_fossil_6;Random;MJ;159;34;83;7;2;33
7;Resource_use_fossil_7;Random;MJ;284;88;79;3;58;56
8;Resource_use_fossil_8;Random;MJ;270;90;63;20;86;11
9;Resource_use_fossil_9;Random;MJ;178;74;1;9;17;77
10;Resource_use_fossil_10;Random;MJ;181;23;0;62;3;93
11;Resource_use_fossil_11;Random;MJ;327;9;82;68;75;93
12;Resource_use_fossil_12;Random;MJ;398;36;75;100;94;93
13;Resource_use_fossil_13;Random;MJ;335;78;46;36;88;87
14;Resource_use_fossil_14;Random;MJ;143;23;28;46;20;26
15;Resource_use_fossil_15;Random;MJ;287;74;88;31;1;93
16;Resource_use_fossil_16;Random;MJ;257;24;29;78;53;73
17;Resource_use_fossil_17;Random;MJ;315;82;29;97;95;12
18;Resource_use_fossil_18;Random;MJ;224;57;65;10;73;19
19;Resource_use_fossil_19;Random;MJ;147;21;31;23;47;25
20;Resource_use_fossil_20;Random;MJ;174;19;99;9;17;30
