No;Process;Project;Unit;Total;Activity 1;Activity 2;Activity 3;Activity 4;Activity 5
1;Total;Random;kg Sb eq;5102;993;991;1065;1196;857
2;Resource_use_minerals_and_metals_2;Random;kg Sb eq;240;70;33;27;29;81
3;Resource_use_minerals_and_metals_3;Random;kg Sb eq;275;16;29;39;97;94
4;Resource_use_minerals_and_metals_4;Random;kg Sb eq;311;32;36;95;97;51
5;Resource_use_minerals_and_metals_5;Random;kg Sb eq;293;64;95;100;32;2
6;Resource_use_minerals_and_metals_6;Random;kg Sb eq;318;25;61;72;89;71
7;Resource_use_minerals_and_metals_7;Random;kg Sb eq;387;40;93;82;93;79
8;Resource_use_minerals_and_metals_8;Random;kg Sb eq;285;53;69;87;40;36
9;Resource_use_minerals_and_metals_9;Random;kg Sb eq;196;10;79;46;37;24
10;Resource_use_minerals_and_metals_10;Random;kg Sb eq;337;75;72;81;63;46
11;Resource_use_minerals_and_metals_11;Random;kg Sb eq;257;86;56;22;31;62
12;Resource_use_minerals_and_metals_12;Random;kg Sb eq;285;95;61;28;88;13
13;Resource_use_minerals_and_metals_13;Random;kg Sb eq;279;68;23;83;94;11
14;Resource_use_minerals_and_metals_14;Random;kg Sb eq;136;81;3;20;21;11
15;Resource_use_minerals_and_metals_15;Random;kg Sb eq;346;85;19;93;92;57
16;Resource_use_minerals_and_metals_16;Random;kg Sb eq;280;44;78;7;100;51
17;Resource_use_minerals_and_metals_17;Random;kg Sb eq;220;10;48;41;100;21
18;Resource_use_minerals_and_metals_18;Random;kg Sb eq;287;95;42;87;37;26
19;Resource_use_minerals_and_metals_19;Random;kg Sb eq;147;0;14;2;50;81
20;Resource_use_minerals_and_metals_20;Random;kg Sb eq;223;44;80;53;6;40
