No;Process;Project;Unit;Total;Activity 1;Activity 2;Activity 3;Activity 4;Activity 5
1;Total;Random;m3 depriv.;4071;897;860;859;932;523
2;Water_use_2;Random;m3 depriv.;145;20;6;85;25;9
3;Water_use_3;Random;m3 depriv.;226;10;64;97;29;26
4;Water_use_4;Random;m3 depriv.;218;87;69;33;21;8
5;Water_use_5;Random;m3 depriv.;124;23;16;9;68;8
6;Water_use_6;Random;m3 depriv.;228;68;0;30;58;72
7;Water_use_7;Random;m3 depriv.;198;48;77;35;35;3
8;Water_use_8;Random;m3 depriv.;250;9;86;80;40;35
9;Water_use_9;Random;m3 depriv.;244;98;19;86;35;6
10;Water_use_10;Random;m3 depriv.;255;44;69;18;81;43
11;Water_use_11;Random;m3 depriv.;241;78;75;18;52;18
12;Water_use_12;Random;m3 depriv.;289;60;2;95;38;94
13;Water_use_13;Random;m3 depriv.;237;86;31;20;98;2
14;Water_use_14;Random;m3 depriv.;131;40;24;1;42;24
15;Water_use_15;Random;m3 depriv.;218;23;39;88;60;8
16;Water_use_16;Random;m3 depriv.;264;47;92;69;51;5
17;Water_use_17;Random;m3 depriv.;256;21;45;37;53;100
18;Water_use_18;Random;m3 depriv.;153;22;88;34;4;5
19;Water_use_19;Random;m3 depriv.;211;66;57;2;73;13
20;Water_use_20;Random;m3 depriv.;183;47;1;22;69;44
